id,name,date_disclosed,status,confidence,category,severity,actor,actor_type,autonomy_level,ai_role,model_families,guardrail_bypass,mitre_atlas,mitre_attack,cve,countries,sectors
amazon-q-developer-extension-compromise,Amazon Q Developer VS Code extension compromise (data-wiping prompt injection),2025-07-23,confirmed,primary,infrastructure-abuse-supply-chain,high,lkmanka58,single-operator,not-applicable,significant,other,indirect-prompt-injection,AML.T0051; AML.T0081,,CVE-2025-8217,,
camoleak-github-copilot-chat,CamoLeak — GitHub Copilot Chat prompt-injection data exfiltration,2025-10-08,reported,primary,agent-hijack-prompt-injection,critical,Omer Mayraz (Legit Security),researcher,not-applicable,load-bearing,other,indirect-prompt-injection,AML.T0051.001; AML.T0057,,,,
dprk-it-worker-fraud-claude,North Korean IT-worker remote-employment fraud using Claude,2025-08-27,confirmed,primary,infrastructure-abuse-supply-chain,high,North Korean operatives (DPRK IT workers),nation-state,tool-assisted,significant,claude,legitimate-tool-abuse,,,,,technology
echoleak-m365-copilot,EchoLeak — zero-click prompt injection in Microsoft 365 Copilot,2025-06-11,confirmed,primary,agent-hijack-prompt-injection,critical,Aim Labs (Aim Security),researcher,not-applicable,load-bearing,openai-gpt,indirect-prompt-injection,AML.T0051.001; AML.T0057,,CVE-2025-32711,,
forcedleak-salesforce-agentforce,ForcedLeak — indirect prompt injection in Salesforce Agentforce,2025-09-25,reported,primary,agent-hijack-prompt-injection,critical,Noma Security (Noma Labs),researcher,not-applicable,load-bearing,other,indirect-prompt-injection,AML.T0051.001; AML.T0057,,,,
gtg-1002-ai-espionage,GTG-1002 AI-orchestrated cyber-espionage campaign,2025-11-13,confirmed,primary,ai-orchestrated-campaign,high,Chinese state-sponsored group (tracked by Anthropic as GTG-1002),nation-state,supervised-autonomous,load-bearing,claude,jailbreak; legitimate-tool-abuse,AML.T0054; AML.T0102; AML.T0053,,,,technology; financial-services; chemical-manufacturing; government
gtg-2002-vibe-hacking-extortion,GTG-2002 'vibe hacking' AI-driven data-extortion operation,2025-08-27,confirmed,primary,ai-orchestrated-campaign,high,Unknown cybercriminal (tracked by Anthropic as GTG-2002),cybercriminal,supervised-autonomous,load-bearing,claude,legitimate-tool-abuse,AML.T0053; AML.T0102; AML.T0016.002,,,,government; healthcare; emergency-services; religious-institutions
gtg-5004-ai-ransomware-raas,GTG-5004 AI-assisted ransomware-as-a-service operation,2025-08-27,confirmed,primary,infrastructure-abuse-supply-chain,high,UK-based threat actor (tracked by Anthropic as GTG-5004),single-operator,tool-assisted,significant,claude,legitimate-tool-abuse,AML.T0016.002,,,,
microsoft-openai-state-actor-llm,Microsoft/OpenAI disruption of state-affiliated actors misusing LLMs (2024),2024-02-14,confirmed,primary,infrastructure-abuse-supply-chain,medium,"Five state-affiliated actors: Forest Blizzard, Emerald Sleet, Crimson Sandstorm, Charcoal Typhoon, Salmon Typhoon",nation-state,tool-assisted,incidental,openai-gpt,legitimate-tool-abuse,AML.T0016.002,,,,
morris-ii-genai-worm,Morris II — self-replicating worm targeting GenAI-powered applications,2024-03-05,test-eval,primary,lab-escape-eval,medium,"Researchers (Cohen, Bitton, Nassi — Technion / Intuit / Cornell Tech)",researcher,not-applicable,load-bearing,openai-gpt; gemini; other,indirect-prompt-injection,AML.T0051.001; AML.T0057,,,,
nx-s1ngularity-supply-chain,Nx 's1ngularity' npm supply-chain attack weaponising AI CLI tools,2025-08-27,confirmed,primary,infrastructure-abuse-supply-chain,critical,Unknown,unknown,tool-assisted,significant,claude; gemini; other,legitimate-tool-abuse,AML.T0053,T1567.001,,,
promptflux-gemini-selfmod,PROMPTFLUX — experimental self-modifying malware abusing the Gemini API,2025-11-06,reported,primary,infrastructure-abuse-supply-chain,low,Unknown,unknown,supervised-autonomous,significant,gemini,legitimate-tool-abuse,AML.T0016.002; AML.T0102,,,,
promptlock-ai-ransomware-poc,PromptLock — first known AI-powered ransomware (academic proof-of-concept),2025-08-26,test-eval,primary,lab-escape-eval,medium,NYU Tandon School of Engineering research team,researcher,fully-autonomous,load-bearing,openai-gpt,open-weight-model,AML.T0102; AML.T0016.002,,,,
promptsteal-apt28-lamehug,PROMPTSTEAL / LAMEHUG — LLM-enabled data miner used against Ukraine,2025-11-05,confirmed,primary,ai-orchestrated-campaign,high,"APT28 (FROZENLAKE), Russian government-backed",nation-state,supervised-autonomous,load-bearing,qwen,open-weight-model,AML.T0102; AML.T0016.002,,,UA,
replit-agent-database-deletion,Replit AI coding agent deleted a production database during a code freeze,2025-07-21,confirmed,secondary,autonomous-attack,high,Replit AI agent (autonomous),unknown,fully-autonomous,load-bearing,other,none-observed,,,,,technology
servicenow-now-assist-agent-injection,ServiceNow Now Assist agent-to-agent prompt injection (insecure defaults),2025-11-19,reported,primary,agent-hijack-prompt-injection,high,AppOmni (AO Labs),researcher,not-applicable,load-bearing,other,indirect-prompt-injection,AML.T0051.001; AML.T0053; AML.T0057,,,,
